标题,标题链接,CatalogNo.,CasNo.,Name,ReaxyNo.,CNName,cards-box,cards-box-desc1
>(2S)-pentan-2-amine hydrochloride,http://www.acemol.com/216237-52-4.html,Catalog No.:,Cas No.: 216237-52-4,>(2S)-pentan-2-amine hydrochloride,Reaxy No.:,CN Name:,216237-52-4,Cl[H].CCC[C@H](C)N
>1-Aminocyclopropanecarboxylic acid,http://www.acemol.com/22059-21-8.html,Catalog No.:AMAA0001,Cas No.: 22059-21-8,>1-Aminocyclopropanecarboxylic acid,Reaxy No.:,CN Name:1-氨基环丙烷羧酸,22059-21-8,NC1(CC1)C(O)=O
>1-(Boc-amino)cyclopropanecarboxylic acid,http://www.acemol.com/88950-64-5.html,Catalog No.:AMAA0002,Cas No.: 88950-64-5,>1-(Boc-amino)cyclopropanecarboxylic acid,Reaxy No.:,CN Name:Boc-1-氨基环丙基甲酸,88950-64-5,CC(C)(C)OC(=O)NC1(CC1)C(O)=O
>Methyl 1-aminocyclopropanecarboxylate,http://www.acemol.com/72784-43-1.html,Catalog No.:AMAA0003,Cas No.: 72784-43-1,>Methyl 1-aminocyclopropanecarboxylate,Reaxy No.:4430628,CN Name:1-氨基环丙基甲酸甲酯,72784-43-1,COC(=O)C1(N)CC1
>Methyl 1-aminocyclopropanecarboxylate hydrochloride,http://www.acemol.com/72784-42-0.html,Catalog No.:AMAA0004,Cas No.: 72784-42-0,>Methyl 1-aminocyclopropanecarboxylate hydrochloride,Reaxy No.:,CN Name:1-氨基环丙烷甲酸甲酯盐酸盐,72784-42-0,Cl[H].COC(=O)C1(N)CC1
>ethyl 1-aminocyclopropanecarboxylate hydrochloride,http://www.acemol.com/42303-42-4.html,Catalog No.:AMAA0005,Cas No.: 42303-42-4,>ethyl 1-aminocyclopropanecarboxylate hydrochloride,Reaxy No.:5109970,CN Name:1-氨基环丙烷甲酸乙酯盐酸盐,42303-42-4,Cl[H].CCOC(=O)C1(N)CC1
>ethyl 1-aminocyclopropane-1-carboxylate,http://www.acemol.com/72784-47-5.html,Catalog No.:AMAA0006,Cas No.: 72784-47-5,>ethyl 1-aminocyclopropane-1-carboxylate,Reaxy No.:3696441,CN Name:1-氨基环丙烷羧酸乙酯,72784-47-5,CCOC(=O)C1(N)CC1
>Fmoc-DOPA(acetonide)-OH,http://www.acemol.com/852288-18-7.html,Catalog No.:AMAA0008,Cas No.: 852288-18-7,>Fmoc-DOPA(acetonide)-OH,Reaxy No.:,"CN Name:(2S)-2-[[(9H-芴-9-基甲氧基)羰基]氨基]-3-(2,2-二甲基-1,3-苯并二恶茂-5-基)丙酸",852288-18-7,CC1(C)OC2=C(O1)C=C(C[C@H](NC(=O)OCC1C3=CC=CC=C3C3=C1C=CC=C3)C(O)=O)C=C2
>(1-(tert-butoxycarbonyl)-1H-imidazol-2-yl)boronic acid,http://www.acemol.com/.html,Catalog No.:AMBA00002,Cas No.: AMBA00002,>(1-(tert-butoxycarbonyl)-1H-imidazol-2-yl)boronic acid,Reaxy No.:,CN Name:(1-(叔丁氧基羰基)-1H-咪唑-2-基)硼酸,AMBA00002,CC(C)(C)OC(=O)N1C=CN=C1B(O)O
>3-fluoro-5-(trifluoromethyl)phenylboronic acid,http://www.acemol.com/159020-59-4.html,Catalog No.:AMBA00003,Cas No.: 159020-59-4,>3-fluoro-5-(trifluoromethyl)phenylboronic acid,Reaxy No.:13769495,CN Name:3-氟-5-三氟甲基苯硼酸,159020-59-4,OB(O)C1=CC(F)=CC(=C1)C(F)(F)F
>(4-(9H-carbazol-9-yl)phenyl)-boronic acid,http://www.acemol.com/419536-33-7.html,Catalog No.:AMBA00004,Cas No.: 419536-33-7,>(4-(9H-carbazol-9-yl)phenyl)-boronic acid,Reaxy No.:10565612,CN Name:4-(9H-咔唑-9-基)苯硼酸,419536-33-7,OB(O)C1=CC=C(C=C1)N1C2=C(C=CC=C2)C2=C1C=CC=C2
">5-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)pyridine-3-carbonitrile",http://www.acemol.com/402718-29-0.html,Catalog No.:AMBA00005,Cas No.: 402718-29-0,">5-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)pyridine-3-carbonitrile",Reaxy No.:14676288,CN Name:3-氰基吡啶-5-硼酸频哪醇酯,402718-29-0,CC1(C)OB(OC1(C)C)C1=CC(=CN=C1)C#N
">tert-butyl 4-[4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)phenyl]piperazinecarboxylate",http://www.acemol.com/470478-90-1.html,Catalog No.:AMBA00006,Cas No.: 470478-90-1,">tert-butyl 4-[4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)phenyl]piperazinecarboxylate",Reaxy No.:15029250,CN Name:4-[4-(N-BOC)哌嗪-1-基]苯基硼酸频哪酯,470478-90-1,CC(C)(C)OC(=O)N1CCN(CC1)C1=CC=C(C=C1)B1OC(C)(C)C(C)(C)O1
">4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)isoxazole",http://www.acemol.com/928664-98-6.html,Catalog No.:AMBA00007,Cas No.: 928664-98-6,">4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)isoxazole",Reaxy No.:18376530,CN Name:4-异噁唑硼酸频那醇酯,928664-98-6,CC1(C)OB(OC1(C)C)C1=CON=C1
>boronic acid of 7-bromoindazole,http://www.acemol.com/915411-01-7.html,Catalog No.:AMBA00008,Cas No.: 915411-01-7,>boronic acid of 7-bromoindazole,Reaxy No.:15426225,CN Name:吲唑-7-硼酸,915411-01-7,OB(O)C1=CC=CC2=C1NN=C2
">3,5-(tBu)2C6H3B(OH)2",http://www.acemol.com/197223-39-5.html,Catalog No.:AMBA00009,Cas No.: 197223-39-5,">3,5-(tBu)2C6H3B(OH)2",Reaxy No.:8144886,"CN Name:3,5-二叔丁基苯硼酸",197223-39-5,CC(C)(C)C1=CC(=CC(=C1)B(O)O)C(C)(C)C
">2-(1-(2H-3,4,5,6-tetrahydropyran-2-yl)pyrazol-5-yl)-4,4,5,5-tetramethyl-1,3,2-dioxaborolane",http://www.acemol.com/903550-26-5.html,Catalog No.:AMBA00010,Cas No.: 903550-26-5,">2-(1-(2H-3,4,5,6-tetrahydropyran-2-yl)pyrazol-5-yl)-4,4,5,5-tetramethyl-1,3,2-dioxaborolane",Reaxy No.:10351732,CN Name:1-(2-四氢吡喃基)-1H-吡唑-5-硼酸频哪酯,903550-26-5,CC1(C)OB(OC1(C)C)C1=CC=NN1C1CCCCO1
>(3-(difluoromethy)phenyl)boronic acid,http://www.acemol.com/854690-87-2.html,Catalog No.:AMBA00011,Cas No.: 854690-87-2,>(3-(difluoromethy)phenyl)boronic acid,Reaxy No.:14414927,CN Name:(3-(二氟甲基)苯基)硼酸,854690-87-2,OB(O)C1=CC(=CC=C1)C(F)F
>4-borono-2-methoxybenzoic acid,http://www.acemol.com/851335-12-1.html,Catalog No.:AMBA00012,Cas No.: 851335-12-1,>4-borono-2-methoxybenzoic acid,Reaxy No.:10433848,CN Name:3-甲氧基-4-羧基苯硼酸,851335-12-1,COC1=CC(=CC=C1C(O)=O)B(O)O
>1H-pyrazol-4-ylboronic acid,http://www.acemol.com/763120-58-7.html,Catalog No.:AMBA00013,Cas No.: 763120-58-7,>1H-pyrazol-4-ylboronic acid,Reaxy No.:,CN Name:1H-吡唑-4-硼酸,763120-58-7,OB(O)C1=CNN=C1
">Benzoic acid, 4-borono-3-methoxy-",http://www.acemol.com/741699-09-2.html,Catalog No.:AMBA00014,Cas No.: 741699-09-2,">Benzoic acid, 4-borono-3-methoxy-",Reaxy No.:,CN Name:4-硼基-3-甲氧基苯甲酸,741699-09-2,COC1=CC(=CC=C1B(O)O)C(O)=O
>4-carboxy-3-methoxyphenyl boronic acid methyl ester,http://www.acemol.com/603122-41-4.html,Catalog No.:AMBA00015,Cas No.: 603122-41-4,>4-carboxy-3-methoxyphenyl boronic acid methyl ester,Reaxy No.:14212603,CN Name:3-甲氧基-4-甲氧基羰基苯硼酸,603122-41-4,COC(=O)C1=C(OC)C=C(C=C1)B(O)O
">2-Methoxy-4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-phenol",http://www.acemol.com/269410-22-2.html,Catalog No.:AMBA00016,Cas No.: 269410-22-2,">2-Methoxy-4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-phenol",Reaxy No.:10003397,CN Name:4-羟基-3-甲氧硼酸频哪醇酯,269410-22-2,COC1=CC(=CC=C1O)B1OC(C)(C)C(C)(C)O1
">4-(4,4,5,5-Tetramethyl-[1,3,2]dioxaborolan-2-yl)-benzoic acid methyl ester",http://www.acemol.com/171364-80-0.html,Catalog No.:AMBA00017,Cas No.: 171364-80-0,">4-(4,4,5,5-Tetramethyl-[1,3,2]dioxaborolan-2-yl)-benzoic acid methyl ester",Reaxy No.:7709458,CN Name:4-甲氧甲酰苯硼酸频哪醇酯,171364-80-0,COC(=O)C1=CC=C(C=C1)B1OC(C)(C)C(C)(C)O1
">4-(4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)benzyl)morpholine",http://www.acemol.com/364794-79-6.html,Catalog No.:AMBA00018,Cas No.: 364794-79-6,">4-(4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)benzyl)morpholine",Reaxy No.:9275436,CN Name:4-(4-吗啉甲基)苯硼酸频哪酯,364794-79-6,CC1(C)OB(OC1(C)C)C1=CC=C(CN2CCOCC2)C=C1
>5-ethylpyridin-3-ylboronic acid,http://www.acemol.com/1001907-70-5.html,Catalog No.:AMBA00019,Cas No.: 1001907-70-5,>5-ethylpyridin-3-ylboronic acid,Reaxy No.:18966996,CN Name:5-乙基吡啶-3-硼酸,1001907-70-5,CCC1=CC(=CN=C1)B(O)O
">5-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-1H-pyrazole",http://www.acemol.com/844501-71-9.html,Catalog No.:AMBA00020,Cas No.: 844501-71-9,">5-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-1H-pyrazole",Reaxy No.:20923675,"CN Name:1 H-吡唑-3-硼酸频哪酯,95%",844501-71-9,CC1(C)OB(OC1(C)C)C1=CC=NN1
