药物名称,drug_name,smiles,药物别名,全球最高研发状态,中国最高研发状态,首批年份,原研公司,Active公司,治疗领域/适应症,全球批准适应症,中国批准适应症,全球最高研发状态适应症,中国最高研发状态适应症,Active适应症,ATC代码,靶点,作用机制,药物类型大类,药物类型,中国一类,是否NME,是否复方,是否First-in-Class,是否QIDP,国家/区域,上市国家/区域,首批国家/区域,CAS 号,Inactive公司,Inactive适应症,最后更新日期,drugbank_url
Pralatrexate(普拉曲沙),Pralatrexate,NC1=NC2=NC=C(CC(CC#C)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N=C2C(N)=N1,"PDX; 
Folotyn; Difolta; 
pralatrexatum; pralatrexato; 
プララトレキサート;
",批准上市,批准上市,2009,"Spectrum Pharmaceuticals Inc;
","Acrotech Biopharma Llc;
Allos Therapeutics Inc;
Anderson Pallet & Packaging Inc;
百特德国药厂;
萌蒂（中国）制药有限公司;
Mundipharma Kk;
","周围T-细胞淋巴瘤;
T-细胞淋巴瘤;
皮肤T细胞淋巴瘤;
淋巴瘤;
","周围T-细胞淋巴瘤;
","周围T-细胞淋巴瘤;
","周围T-细胞淋巴瘤;
","周围T-细胞淋巴瘤;
","周围T-细胞淋巴瘤;
T-细胞淋巴瘤;
","L01BA05;
","DHFR;
","Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","有机杂环药物;
",NA,是,否,否,否,"新西兰;
波兰;
波多黎各;
西班牙;
英国;
美国;
澳大利亚;
比利时;
加拿大;
中国大陆;
法国;
爱尔兰;
以色列;
意大利;
日本;
欧洲联盟;
","美国;
中国大陆;
日本;
","美国;
",146464-95-1(Pralatrexate);,"Allos Therapeutics Ltd;
Spectrum Pharmaceuticals Inc;
","淋巴瘤;
皮肤T细胞淋巴瘤;
",2020-12-01,https://go.drugbank.com/drugs/DB06813
Pemetrexed Disodium Hydrate(培美曲塞二钠),Pemetrexed Disodium Hydrate,NC1=NC(=O)C2=C(NC=C2CCC2=CC=C(C=C2)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N1,"LY-231514; LY-231514 disodium; 
Rolazar; Tifolar; Alimta; 力比泰; 
Pemetrexedum; 
培美曲唑; 培美曲噻; 培美曲塞二钠水合物; 
ペメトレキセドナトリウム水和物;
",批准上市,临床三期,2004,"礼来制药;
","Dr. Reddy’S Laboratories Inc;
礼来制药;
美国礼来亚洲公司上海代表处;
Eli Lilly Nederland Bv;
Lilly France Sas;
","间皮组织肿瘤;
非小细胞肺癌;
胸膜孤立性纤维瘤;
骨肉瘤;
横纹肌肉瘤;
室管膜瘤;
髓母细胞瘤;
尤因肉瘤;
肺癌;
导管癌;
男性乳腺肿瘤;
乳腺癌;
腹膜癌;
卵巢癌;
肝癌;
胰腺癌;
","间皮组织肿瘤;
非小细胞肺癌;
胸膜孤立性纤维瘤;
",NA,"间皮组织肿瘤;
非小细胞肺癌;
胸膜孤立性纤维瘤;
","非小细胞肺癌;
","间皮组织肿瘤;
非小细胞肺癌;
胸膜孤立性纤维瘤;
","L01BA04;
","DHFR;
GART;
TYMS;
","GAR transformylase inhibitors(GART抑制剂); 
Thymidylate synthase inhibitors(TYMS抑制剂); 
Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","有机杂环药物;
",NA,是,否,否,否,"荷兰;
波兰;
罗马尼亚;
韩国;
西班牙;
瑞典;
中国台湾;
土耳其;
英国;
美国;
阿根廷;
澳大利亚;
奥地利;
比利时;
巴西;
保加利亚;
中国大陆;
克罗地亚;
丹麦;
法国;
德国;
希腊;
匈牙利;
印度;
意大利;
日本;
欧洲联盟;
捷克;
","美国;
日本;
欧洲联盟;
","美国;
",357166-29-1(Pemetrexed Disodium  Heptahydrate);,NA,"导管癌;
肺癌;
腹膜癌;
肝癌;
骨肉瘤;
横纹肌肉瘤;
卵巢癌;
男性乳腺肿瘤;
乳腺癌;
室管膜瘤;
髓母细胞瘤;
胰腺癌;
尤因肉瘤;
",2021-03-31,https://go.drugbank.com/drugs/DB00642
Dihydroartemisinin/Piperaquine/Primaquine/Trimethoprim(双氢青蒿素/哌喹/伯氨喹/甲氧苄啶),Dihydroartemisinin,[H][C@@]1(C)CC[C@@]2([H])[C@@]([H])(C)C([H])(O)O[C@]3([H])O[C@@]4(C)CC[C@]1([H])[C@@]23OO4,"CV-8; CV8; 
",批准上市,无申报,2000,NA,NA,"恶性疟;
","恶性疟;
",NA,"恶性疟;
",NA,"恶性疟;
","P01B;
","MPO;
DHFR;
CYP3A4;
","Cytochrome P450 3A4 inhibitors(CYP3A4抑制剂); 
","化学药;
","化学药;
",NA,否,是,否,否,"越南;
","越南;
","越南;
",738-70-5(Trimethoprim); 63-45-6(Primaquine Phosphate);,NA,NA,2021-05-28,https://go.drugbank.com/drugs/DB11638
Dihydroartemisinin/Piperaquine/Primaquine/Trimethoprim(双氢青蒿素/哌喹/伯氨喹/甲氧苄啶),Piperaquine,ClC1=CC2=C(C=C1)C(=CC=N2)N1CCN(CCCN2CCN(CC2)C2=CC=NC3=C2C=CC(Cl)=C3)CC1,"CV-8; CV8; 
",批准上市,无申报,2000,NA,NA,"恶性疟;
","恶性疟;
",NA,"恶性疟;
",NA,"恶性疟;
","P01B;
","MPO;
DHFR;
CYP3A4;
","Cytochrome P450 3A4 inhibitors(CYP3A4抑制剂); 
","化学药;
","化学药;
",NA,否,是,否,否,"越南;
","越南;
","越南;
",738-70-5(Trimethoprim); 63-45-6(Primaquine Phosphate);,NA,NA,2021-05-28,https://go.drugbank.com/drugs/DB13941
Dihydroartemisinin/Piperaquine/Primaquine/Trimethoprim(双氢青蒿素/哌喹/伯氨喹/甲氧苄啶),Primaquine,COC1=CC(NC(C)CCCN)=C2N=CC=CC2=C1,"CV-8; CV8; 
",批准上市,无申报,2000,NA,NA,"恶性疟;
","恶性疟;
",NA,"恶性疟;
",NA,"恶性疟;
","P01B;
","MPO;
DHFR;
CYP3A4;
","Cytochrome P450 3A4 inhibitors(CYP3A4抑制剂); 
","化学药;
","化学药;
",NA,否,是,否,否,"越南;
","越南;
","越南;
",738-70-5(Trimethoprim); 63-45-6(Primaquine Phosphate);,NA,NA,2021-05-28,https://go.drugbank.com/drugs/DB01087
Dihydroartemisinin/Piperaquine/Primaquine/Trimethoprim(双氢青蒿素/哌喹/伯氨喹/甲氧苄啶),Trimethoprim,COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC,"CV-8; CV8; 
",批准上市,无申报,2000,NA,NA,"恶性疟;
","恶性疟;
",NA,"恶性疟;
",NA,"恶性疟;
","P01B;
","MPO;
DHFR;
CYP3A4;
","Cytochrome P450 3A4 inhibitors(CYP3A4抑制剂); 
","化学药;
","化学药;
",NA,否,是,否,否,"越南;
","越南;
","越南;
",738-70-5(Trimethoprim); 63-45-6(Primaquine Phosphate);,NA,NA,2021-05-28,https://go.drugbank.com/drugs/DB00440
Chloroquine Phosphate/Proguanil Hydrochloride(磷酸氯喹/盐酸氯胍),Chloroquine Phosphate,CCN(CC)CCCC(C)NC1=CC=NC2=CC(Cl)=CC=C12,"Savarine; 
Chloroquine Phosphate/Proguanil; Chloroquine Phosphate and Proguanil Hydrochloride; Chloroquine Phosphate-Proguanil Hydrochloride; Chloroquine/Proguanil; Chloroquine/Proguanil Hydrochloride; Chloroquine Phosphate+Proguanil Hydrochloride; 
氯喹/氯胍; 磷酸氯喹和盐酸氯胍; 磷酸氯喹盐酸氯胍; 磷酸氯喹-盐酸氯胍; 
ヒドロキシクロロキン•プログアニル塩酸塩;
",批准上市,无申报,1999,"阿斯利康;
","阿斯利康制药有限公司;
","疟原虫感染;
","疟原虫感染;
",NA,"疟原虫感染;
",NA,"疟原虫感染;
","P01BA01;
","DHFR;
","Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","化学药;
",NA,否,是,否,否,"法国;
","法国;
","法国;
",50-63-5(Chloroquine Phosphate); 637-32-1(Proguanil Hydrochloride);,NA,NA,2020-08-28,https://go.drugbank.com/drugs/DB00608
Chloroquine Phosphate/Proguanil Hydrochloride(磷酸氯喹/盐酸氯胍),Proguanil Hydrochloride,CC(C)NC(=N)NC(=N)NC1=CC=C(Cl)C=C1,"Savarine; 
Chloroquine Phosphate/Proguanil; Chloroquine Phosphate and Proguanil Hydrochloride; Chloroquine Phosphate-Proguanil Hydrochloride; Chloroquine/Proguanil; Chloroquine/Proguanil Hydrochloride; Chloroquine Phosphate+Proguanil Hydrochloride; 
氯喹/氯胍; 磷酸氯喹和盐酸氯胍; 磷酸氯喹盐酸氯胍; 磷酸氯喹-盐酸氯胍; 
ヒドロキシクロロキン•プログアニル塩酸塩;
",批准上市,无申报,1999,"阿斯利康;
","阿斯利康制药有限公司;
","疟原虫感染;
","疟原虫感染;
",NA,"疟原虫感染;
",NA,"疟原虫感染;
","P01BA01;
","DHFR;
","Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","化学药;
",NA,否,是,否,否,"法国;
","法国;
","法国;
",50-63-5(Chloroquine Phosphate); 637-32-1(Proguanil Hydrochloride);,NA,NA,2020-08-28,https://go.drugbank.com/drugs/DB01131
Atovaquone/Proguanil Hydrochloride(阿托伐醌/盐酸氯胍),Atovaquone,OC1=C([C@H]2CC[C@@H](CC2)C2=CC=C(Cl)C=C2)C(=O)C2=CC=CC=C2C1=O,"Malarone; Atoguanil; 
Atovaquone/Proguanil; Atovaquone and Proguanil Hydrochloride; Atovaquone•Proguanil Hydrochloride; Proguanil/Atovaquone; 
阿托伐醌和盐酸氯胍; 阿托伐醌盐酸氯胍; 阿托伐醌•盐酸氯胍; 
アトバコン•プログアニル塩酸塩;
",批准上市,无申报,1996,"葛兰素史克;
","葛兰素史克;
","恶性疟;
间日疟原虫感染;
疟原虫感染;
","恶性疟;
间日疟原虫感染;
疟原虫感染;
",NA,"恶性疟;
间日疟原虫感染;
疟原虫感染;
",NA,"恶性疟;
间日疟原虫感染;
疟原虫感染;
","P01BB51;
","DHFR;
Cytochrome b;
","Cytochrome b inhibitors(细胞色素b抑制剂); 
Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","化学药;
",NA,否,是,否,否,"英国;
美国;
日本;
","英国;
美国;
日本;
","英国;
",637-32-1(Proguanil Hydrochloride); 95233-18-4(Atovaquone);,NA,NA,2021-05-07,https://go.drugbank.com/drugs/DB01117
Atovaquone/Proguanil Hydrochloride(阿托伐醌/盐酸氯胍),Proguanil Hydrochloride,CC(C)NC(=N)NC(=N)NC1=CC=C(Cl)C=C1,"Malarone; Atoguanil; 
Atovaquone/Proguanil; Atovaquone and Proguanil Hydrochloride; Atovaquone•Proguanil Hydrochloride; Proguanil/Atovaquone; 
阿托伐醌和盐酸氯胍; 阿托伐醌盐酸氯胍; 阿托伐醌•盐酸氯胍; 
アトバコン•プログアニル塩酸塩;
",批准上市,无申报,1996,"葛兰素史克;
","葛兰素史克;
","恶性疟;
间日疟原虫感染;
疟原虫感染;
","恶性疟;
间日疟原虫感染;
疟原虫感染;
",NA,"恶性疟;
间日疟原虫感染;
疟原虫感染;
",NA,"恶性疟;
间日疟原虫感染;
疟原虫感染;
","P01BB51;
","DHFR;
Cytochrome b;
","Cytochrome b inhibitors(细胞色素b抑制剂); 
Dihydrofolate reductase inhibitors(DHFR抑制剂); 
","化学药;
","化学药;
",NA,否,是,否,否,"英国;
美国;
日本;
","英国;
美国;
日本;
","英国;
",637-32-1(Proguanil Hydrochloride); 95233-18-4(Atovaquone);,NA,NA,2021-05-07,https://go.drugbank.com/drugs/DB01131
